Execução,Execuções Necessárias,Fitness Médio,Desvio Padrão do Fitness,Número de Indivíduos Convergentes
1,213,0.51,0.06999999999999999,1
2,51,0.36,0.12741009902410927,1
3,27,0.28733333333333333,0.14554724318928203,1
4,20,0.276,0.1476542507948138,1
5,73,0.4,0.12909944487358055,1
6,298,0.51,0.06999999999999999,1
7,0,0.21589033189033188,0.13909738744614483,1
8,22,0.284,0.13654303350958627,1
9,0,0.2005,0.13853578265683436,1
10,305,0.51,0.06999999999999999,1
11,21,0.2543333333333333,0.12904822526654308,1
12,141,0.5033333333333333,0.07810249675906654,1
13,2159,0.51,0.06999999999999999,1
14,39,0.33333333333333326,0.12583057392117916,1
15,76,0.415,0.1184271928232701,1
16,0,0.22482489732489733,0.12853533702666511,1
17,26,0.288,0.1161435892907281,1
18,26,0.282,0.126,1
19,256,0.51,0.06999999999999999,1
20,144,0.51,0.06999999999999999,1
21,74,0.415,0.12189476335484364,1
22,307,0.51,0.06999999999999999,1
23,56,0.3416666666666666,0.12936812246883356,1
24,78,0.4116666666666666,0.12180357593728976,1
25,15,0.23,0.12445436468396313,1
26,121,0.45,0.11180339887498951,1
27,75,0.3483333333333333,0.12983964469041548,1
28,361,0.51,0.06999999999999999,1
29,16,0.2683333333333333,0.12370439676009004,1
30,103,0.39,0.11357816691600547,1
